value,empirico,diffTon,diffPer,L2,L1,years
286.818,306.552,-19.734,-6.43740703,B.Desovante,Data 4,1983
327.278,293.438,33.84,11.53224872,B.Desovante,Data 4,1984
315.548,284.605,30.943,10.87226156,B.Desovante,Data 4,1985
307.041,294.646,12.395,4.206743007,B.Desovante,Data 4,1986
280.007,253.038,26.969,10.65808298,B.Desovante,Data 4,1987
253.668,223.008,30.66,13.74838571,B.Desovante,Data 4,1988
205.568,180.6,24.968,13.82502769,B.Desovante,Data 4,1989
198.276,181.563,16.713,9.205069315,B.Desovante,Data 4,1990
145.465,154.259,-8.794,-5.700801898,B.Desovante,Data 4,1991
117.953,130.133,-12.18,-9.359655122,B.Desovante,Data 4,1992
107.241,128.159,-20.918,-16.32191262,B.Desovante,Data 4,1993
115.443,121.702,-6.259,-5.14289001,B.Desovante,Data 4,1994
177.797,147.556,30.241,20.49459188,B.Desovante,Data 4,1995
162.09,142.537,19.553,13.71784168,B.Desovante,Data 4,1996
177.207,154.227,22.98,14.90011477,B.Desovante,Data 4,1997
156.55,143.347,13.203,9.210517137,B.Desovante,Data 4,1998
158.276,150.328,7.948,5.287105529,B.Desovante,Data 4,1999
143.539,139.803,3.736,2.672331781,B.Desovante,Data 4,2000
122.496,115.749,6.747,5.828992043,B.Desovante,Data 4,2001
172.332,156.034,16.298,10.44515939,B.Desovante,Data 4,2002
167.178,151.865,15.313,10.08329767,B.Desovante,Data 4,2003
165.447,146.325,19.122,13.06817017,B.Desovante,Data 4,2004
156.825,142.686,14.139,9.909171187,B.Desovante,Data 4,2005
138.532,139.203,-0.671,-0.482029841,B.Desovante,Data 4,2006
133.082,135.451,-2.369,-1.748971953,B.Desovante,Data 4,2007
130.853,131.2,-0.347,-0.264481707,B.Desovante,Data 4,2008
122.113,127.043,-4.93,-3.880575868,B.Desovante,Data 4,2009
104.623,123.434,-18.811,-15.23972325,B.Desovante,Data 4,2010
115.965,121.935,-5.97,-4.896051175,B.Desovante,Data 4,2011
100.351,119.154,-18.803,-15.78041862,B.Desovante,Data 4,2012
94.6378,115.655,-21.0172,-18.17232286,B.Desovante,Data 4,2013
92.7173,118.495,-25.7777,-21.75425123,B.Desovante,Data 4,2014
941.22,926.204,15.016,1.621241109,B.Total,Data 4,1977
939.851,922.603,17.248,1.869493162,B.Total,Data 4,1978
904.319,873.924,30.395,3.477991221,B.Total,Data 4,1979
866.653,830.442,36.211,4.360449014,B.Total,Data 4,1980
763.851,803.056,-39.205,-4.881975852,B.Total,Data 4,1981
718.572,772.971,-54.399,-7.03765083,B.Total,Data 4,1982
744.944,738.565,6.379,0.863701908,B.Total,Data 4,1983
768.032,721.036,46.996,6.517843769,B.Total,Data 4,1984
802.362,701.357,101.005,14.40136763,B.Total,Data 4,1985
749.881,681.681,68.2,10.00467961,B.Total,Data 4,1986
673.896,650.705,23.191,3.563980606,B.Total,Data 4,1987
638.351,604.5,33.851,5.599834574,B.Total,Data 4,1988
576.211,550.114,26.097,4.743925804,B.Total,Data 4,1989
517.211,514.69,2.521,0.4898094,B.Total,Data 4,1990
467.087,489.81,-22.723,-4.639145791,B.Total,Data 4,1991
449.43,481.997,-32.567,-6.756681058,B.Total,Data 4,1992
432.914,477.424,-44.51,-9.322949831,B.Total,Data 4,1993
450.71,490.154,-39.444,-8.047266777,B.Total,Data 4,1994
528.055,499.531,28.524,5.710156126,B.Total,Data 4,1995
591.628,507.339,84.289,16.61394058,B.Total,Data 4,1996
593.208,516.026,77.182,14.95699829,B.Total,Data 4,1997
574.683,523.14,51.543,9.852620713,B.Total,Data 4,1998
555.388,527.681,27.707,5.250710183,B.Total,Data 4,1999
551.861,527.698,24.163,4.578944775,B.Total,Data 4,2000
549.665,524.036,25.629,4.890694532,B.Total,Data 4,2001
551.197,516.124,35.073,6.795460006,B.Total,Data 4,2002
567.954,507.737,60.217,11.85988021,B.Total,Data 4,2003
585.178,493.892,91.286,18.48298818,B.Total,Data 4,2004
565.94,477.478,88.462,18.5269269,B.Total,Data 4,2005
508.329,463.5,44.829,9.67184466,B.Total,Data 4,2006
453.501,448.223,5.278,1.177538859,B.Total,Data 4,2007
418.602,432.812,-14.21,-3.283180688,B.Total,Data 4,2008
397.955,418.093,-20.138,-4.816631706,B.Total,Data 4,2009
350.371,407.88,-57.509,-14.09949005,B.Total,Data 4,2010
322.244,403.59,-81.346,-20.15560346,B.Total,Data 4,2011
320.507,406.032,-85.525,-21.06361075,B.Total,Data 4,2012
303.528,407.409,-103.881,-25.49796396,B.Total,Data 4,2013
294.682,408.139,-113.457,-27.79861763,B.Total,Data 4,2014
769.524,788.547,-19.023,-2.412411689,B.Juvenil,Data 4,1977
767.252,785.133,-17.881,-2.277448534,B.Juvenil,Data 4,1978
730.756,736.693,-5.937,-0.805898794,B.Juvenil,Data 4,1979
691.013,693.676,-2.663,-0.383896805,B.Juvenil,Data 4,1980
606.104,667.596,-61.492,-9.210959922,B.Juvenil,Data 4,1981
570.163,640.718,-70.555,-11.01186481,B.Juvenil,Data 4,1982
581.546,610.378,-28.832,-4.723630275,B.Juvenil,Data 4,1983
600.968,601.217,-0.249,-0.041415995,B.Juvenil,Data 4,1984
661.677,590.892,70.785,11.97934648,B.Juvenil,Data 4,1985
621.62,578.089,43.531,7.530155391,B.Juvenil,Data 4,1986
549.478,548.018,1.46,0.266414607,B.Juvenil,Data 4,1987
515.461,502.214,13.247,2.637720175,B.Juvenil,Data 4,1988
462.334,442.032,20.302,4.592880153,B.Juvenil,Data 4,1989
404.699,404.683,0.016,0.003953712,B.Juvenil,Data 4,1990
342.094,376.293,-34.199,-9.088396542,B.Juvenil,Data 4,1991
319.221,367.135,-47.914,-13.05078513,B.Juvenil,Data 4,1992
306.904,361.004,-54.1,-14.98598353,B.Juvenil,Data 4,1993
325.469,368.986,-43.517,-11.79367239,B.Juvenil,Data 4,1994
398.268,379.69,18.578,4.892938977,B.Juvenil,Data 4,1995
452.124,389.057,63.067,16.21022112,B.Juvenil,Data 4,1996
446.876,399.525,47.351,11.85182404,B.Juvenil,Data 4,1997
441.027,409.07,31.957,7.812110397,B.Juvenil,Data 4,1998
423.826,415.066,8.76,2.110507726,B.Juvenil,Data 4,1999
417.077,413.679,3.398,0.821409837,B.Juvenil,Data 4,2000
421.606,411.61,9.996,2.428512427,B.Juvenil,Data 4,2001
431.31,407.381,23.929,5.873862551,B.Juvenil,Data 4,2002
439.368,404.667,34.701,8.575198867,B.Juvenil,Data 4,2003
454.094,394.721,59.373,15.04176368,B.Juvenil,Data 4,2004
445.609,384.406,61.203,15.92144764,B.Juvenil,Data 4,2005
404.194,374.715,29.479,7.867045621,B.Juvenil,Data 4,2006
355.51,363.108,-7.598,-2.092490389,B.Juvenil,Data 4,2007
339.872,348.877,-9.005,-2.581138911,B.Juvenil,Data 4,2008
323.199,332.766,-9.567,-2.874993238,B.Juvenil,Data 4,2009
280.605,319.525,-38.92,-12.18058055,B.Juvenil,Data 4,2010
259.101,310.022,-50.921,-16.42496339,B.Juvenil,Data 4,2011
254.125,308.069,-53.944,-17.51036294,B.Juvenil,Data 4,2012
236.461,306.065,-69.604,-22.7415745,B.Juvenil,Data 4,2013
226.645,303.141,-76.496,-25.23446185,B.Juvenil,Data 4,2014
173.614,154.425,19.189,12.42609681,Reclutamiento,Data 4,1977
187.91,150.879,37.031,24.54350837,Reclutamiento,Data 4,1978
180.802,154.584,26.218,16.96035812,Reclutamiento,Data 4,1979
178.006,150.759,27.247,18.07321619,Reclutamiento,Data 4,1980
166.517,138.149,28.368,20.53435059,Reclutamiento,Data 4,1981
154.89,119.755,35.135,29.33906726,Reclutamiento,Data 4,1982
148.399,119.972,28.427,23.69469543,Reclutamiento,Data 4,1983
138.253,103.34,34.913,33.78459454,Reclutamiento,Data 4,1984
144.275,119.553,24.722,20.6786948,Reclutamiento,Data 4,1985
140.329,117.653,22.676,19.27362668,Reclutamiento,Data 4,1986
145.812,126.94,18.872,14.86686624,Reclutamiento,Data 4,1987
132.651,128.193,4.458,3.477568978,Reclutamiento,Data 4,1988
125.429,120.182,5.247,4.365878418,Reclutamiento,Data 4,1989
131.374,137.309,-5.935,-4.322367798,Reclutamiento,Data 4,1990
132.861,136.233,-3.372,-2.475171214,Reclutamiento,Data 4,1991
135.344,135.502,-0.158,-0.116603445,Reclutamiento,Data 4,1992
137.789,136.487,1.302,0.953937005,Reclutamiento,Data 4,1993
133.188,131.614,1.574,1.195921407,Reclutamiento,Data 4,1994
127.414,122.099,5.315,4.353025004,Reclutamiento,Data 4,1995
135.3,128.529,6.771,5.268071797,Reclutamiento,Data 4,1996
135.399,130.699,4.7,3.596048937,Reclutamiento,Data 4,1997
138.289,131.146,7.143,5.446601498,Reclutamiento,Data 4,1998
132.735,119.836,12.899,10.7638773,Reclutamiento,Data 4,1999
128.355,121.193,7.162,5.909582237,Reclutamiento,Data 4,2000
119.756,111.492,8.264,7.412191009,Reclutamiento,Data 4,2001
113.049,107.513,5.536,5.149144755,Reclutamiento,Data 4,2002
100.371,99.7281,0.6429,0.644652811,Reclutamiento,Data 4,2003
86.4097,92.7147,-6.305,-6.800431862,Reclutamiento,Data 4,2004
81.4926,92.8122,-11.3196,-12.19624144,Reclutamiento,Data 4,2005
77.4103,94.4961,-17.0858,-18.08095784,Reclutamiento,Data 4,2006
72.8858,99.1372,-26.2514,-26.4798683,Reclutamiento,Data 4,2007
81.0095,101.863,-20.8535,-20.47210469,Reclutamiento,Data 4,2008
79.8825,98.4395,-18.557,-18.85117255,Reclutamiento,Data 4,2009
88.3594,123.312,-34.9526,-28.34484884,Reclutamiento,Data 4,2010
87.8719,143.372,-55.5001,-38.71055715,Reclutamiento,Data 4,2011
90.388,99.0758,-8.6878,-8.768841634,Reclutamiento,Data 4,2012
85.5507,90.0845,-4.5338,-5.032830287,Reclutamiento,Data 4,2013
84.6652,89.9629,-5.2977,-5.888760811,Reclutamiento,Data 4,2014
